Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d
TOTO,Industri Dasar & Logam,272,6.1,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RSI45* | Stoch70UP,70,44.6,19.2,70.0,DN,90,-271.4,ABOVE,CONTINUATION,NONE,BULLISH,2.4,270,276,265,284,293,302,2.6,4.4,1.69,142857,38857104,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VOL_SPIKE_STABLE, CMF_POSITIVE, VPT_FALLING",-3388.3888003877364,0.4389751389908738,3989058.333333336,YES,6408307,1743059504.0,0.8,801038400,10320000000,False,1.8,654420,514266653,139880529616.0,280363440,1.25,0.8,RETAIL_DOMINANT,801038400,reported,10320000000,2807040049152,-0.05,NEUTRAL,4,0.0,TIDAK DIUJI,-0.32,-0.8,44.6,0.398
SAME,Kesehatan,342,9.4,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | News_BULLISH*** | Pullback_EMA21** | EMA* | MACD+OBV**,70,50.8,22.1,56.2,UP,100,33.4,ABOVE,CONTINUATION,NONE,BULLISH,6.8,328,350,326,368,387,407,4.7,7.6,1.62,62500,21375000,1000000,RANGING,Bull,Bull,ACCUMULATION,40,"AD_RISING, VWAP_ABOVE_DELTA_POS",39098.781233962625,0.04528579601420607,859550.4761904925,NO,18277877,6251033934.0,0.7,2611125323,17164632545,False,0.8,1055570,1678953583,574202125386.0,913893863,1.09,0.7,RETAIL_DOMINANT,2611125323,reported,17164632545,5870304362496,0.16,POSITIVE,5,0.0,TIDAK DIUJI,-0.32,-0.8,50.85,2.095
EXCL,Teknologi & Telco,3140,8.6,PANTAU,D,Macro_Defensive- | Sector_COLD- | RS_Strong* | News_BULLISH*** | Pullback_EMA21** | Price>EMA21,70,52.9,12.9,67.4,UP,100,25.2,ABOVE,REVERSAL,NONE,BULLISH,16.7,2830,3280,2974,3417,3625,3833,5.3,8.8,1.66,6024,18915360,1000000,RANGING,Bear,Bull,NEUTRAL,50,"VWAP_ABOVE_DELTA_POS, AD_FALLING",4329916.12893115,-0.019569985839810154,-6649813.813767791,NO,30150802,94673518280.0,0.5,6030160426,18199862451,False,0.0,17144400,3889453475,12212883911500.0,2110556149,0.78,0.5,RETAIL_DOMINANT,6030160426,reported,18199862451,57147572355072,0.28,POSITIVE,5,100.0,🟢 SANGAT AMAN,-0.32,-0.8,49.59,47.952
ADES,Consumer & Retail,17875,7.5,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | Overbought- | RS_Strong* | EMA+HMA** | ADX45XX,65,71.0,44.8,80.2,UP,100,301.7,ABOVE,REVERSAL,NONE,BULLISH,9.9,16200,17875,17303,18828,19543,20258,3.2,5.3,1.66,1748,31245500,1000000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",6384.390227166396,-0.028641081915423233,-105798.54807602282,NO,356934,6380195250.0,0.7,50990679,589896800,False,0.8,62496,32787008,586067768000.0,17846737,1.09,0.7,RETAIL_DOMINANT,50990679,reported,589896800,10544405807104,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-0.32,-0.8,64.93,364.652
BAJA,Industri Dasar & Logam,160,7.1,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PBV_Mahal- | RS_Strong* | News_BULLISH*** | Pullback_EMA21**,63,54.8,21.4,52.0,UP,100,29.0,BELOW,CONTINUATION,NONE,BULLISH,19.1,145,167,151,175,187,198,5.6,9.4,1.68,111111,17777760,1000000,RANGING,Bull,Bull,NEUTRAL,50,AD_RISING,265562.18222898245,0.04367671007377085,1606186.7207792401,NO,1999980,319996800.0,0.5,399996000,1800000000,False,0.0,1168776,257997420,41279587200.0,139998600,0.78,0.5,RETAIL_DOMINANT,399996000,reported,1800000000,287999983616,0.2,POSITIVE,3,0.0,TIDAK DIUJI,-0.32,-0.8,56.24,4.339
CAMP,Consumer & Retail,208,8.2,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PBV_Murah | RS_Strong* | VCP_Setup** | News_BULLISH***,62,56.7,33.9,70.0,UP,100,77.3,ABOVE,CONTINUATION,NONE,BULLISH,11.2,194,210,201,219,227,236,3.4,5.3,1.56,142857,29714256,1000000,RANGING,Bear,Bear,NEUTRAL,50,"VPT_RISING, VWAP_ABOVE_DELTA_POS, CMF_NEGATIVE, AD_FALLING",7069.878430107143,-0.10290772739945156,-625223.809523806,NO,2343701,487489808.0,0.5,468740250,5885000000,False,0.0,764696,302337462,62886192096.0,164059087,0.78,0.5,RETAIL_DOMINANT,468740250,reported,5885000000,1224080097280,0.22,POSITIVE,5,0.0,TIDAK DIUJI,-0.32,-0.8,56.73,1.298
CMNP,Infrastruktur & Konstruksi,1620,7.1,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | EMA+HMA**,62,58.6,26.4,30.6,UP,100,97.5,BELOW,CONTINUATION,NONE,BEARISH,31.7,1410,1795,1459,1834,1995,2156,9.9,13.2,1.33,6211,10061820,1000000,HIGH_VOLATILITY,Bull,Bull,DISTRIBUTION,40,"VPT_RISING, CMF_NEGATIVE, AD_FALLING",1005913.9095004539,-0.42464522426496276,-11554291.779867642,YES,17493489,28339452180.0,0.27,6361268817,6696354391,False,-0.8,887056,4117331243,6670076613660.0,2226444085,0.42,0.27,RETAIL_DOMINANT,6361268817,reported,6696354391,10848094388224,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,-0.32,-0.8,80.26,70.92
BUKA,Teknologi & Telco,162,8.9,PANTAU,D,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | News_BULLISH***,60,58.1,34.5,48.8,UP,100,42.6,BELOW,CONTINUATION,NONE,BEARISH,32.1,139,175,153,177,188,199,5.6,9.3,1.66,111111,17999982,1000000,TRENDING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",59106675.06697515,0.05238528059759253,209735005.93406582,NO,380327846,61613111052.0,0.7,54332549434,103148706067,False,0.8,155363933,34935829287,5659604344494.0,19016392301,1.09,0.7,RETAIL_DOMINANT,54332549434,reported,103148706067,16710090358784,0.25,POSITIVE,2,100.0,🟢 SANGAT AMAN,-0.32,-0.8,55.34,6.821
TINS,Energi & Tambang,3750,6.8,PANTAU,D,Macro_Defensive- | Sector_COLD- | RS_Strong* | News_BULLISH*** | Pullback_EMA21** | EMA*,60,50.9,21.6,25.6,UP,79,29.5,BELOW,CONTINUATION,NONE,BULLISH,23.0,3120,3950,3509,4152,4454,4755,6.4,10.7,1.67,4149,15558750,1000000,RANGING,Bull,Bull,NEUTRAL,50,AD_FALLING,11526838.611431897,-0.021804393653815046,-22642183.95339036,NO,13033568,48875880000.0,0.5,2606713709,7447753453,False,0.0,35481040,1681330343,6304988786250.0,912349798,0.78,0.5,RETAIL_DOMINANT,2606713709,reported,7447753453,27929075515392,0.49,POSITIVE,1,100.0,🟢 SANGAT AMAN,-0.32,-0.8,51.55,64.76
BWPT,Agrikultur,133,7.8,PANTAU,D,Macro_Defensive- | Sector_HOT** | PER_Murah* | PBV_Murah | RS_Strong* | Pullback_EMA21**,59,52.8,23.7,47.8,UP,100,12.3,BELOW,REVERSAL,NONE,BULLISH,16.7,121,139,124,148,160,171,6.8,11.3,1.66,111111,14777763,1000000,RANGING,Bear,Bull,DISTRIBUTION,40,"VPT_RISING, CMF_NEGATIVE, AD_FALLING",55892925.55640334,-0.1795579214446228,-672977842.7824464,NO,20788108,2764818364.0,0.27,7559312012,31122368200,False,-0.8,129779856,4892764700,650737705100.0,2645759204,0.42,0.27,RETAIL_DOMINANT,7559312012,reported,31122368200,4139274993664,0.0,NEUTRAL,0,99.0,🟢 SANGAT AMAN,-0.32,-0.8,46.3,1.964
