Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d
SIDO,Consumer & Retail,498,6.0,BUY,C,MACD+OBV** | RSI45* | Vol+OBV* | OBV+Trend | Entry* | Ichimoku*,45,45.4,18.4,52.4,UP,70,-147.3,BELOW,CONTINUATION,NONE,BULLISH,2.3,495,505,488,515,529,542,2.0,3.4,1.7,100000,49800000,1000000,RANGING,Bear,Bear,NEUTRAL,50,"AD_RISING, VPT_FALLING",-163613.03163151798,0.2837244211101791,47352766.66666668,NO,30697970,15287589060.0,0.5,6139594016,29435200000,False,0.0,11164390,3960038141,1972098994218.0,2148857905,0.78,0.5,RETAIL_DOMINANT,6139594016,reported,29435200000,14658729672704,0.0,NEUTRAL,0,31.299999237060547,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,47.28,-0.54
PMUI,Pantauan,101,5.8,PANTAU,D,ADX37X | MACD+OBV** | RSI44* | BB+Sup* | OBV+Trend | Entry*,43,44.0,36.9,41.4,UP,100,29.9,BELOW,CONTINUATION,NONE,BEARISH,28.0,90,109,92,116,127,138,8.9,14.9,1.67,111111,11222211,1000000,TRENDING,Bear,Bear,DISTRIBUTION,40,"CMF_NEGATIVE, AD_FALLING",5957744.667982675,-0.2601856431658927,-26051474.021164022,NO,3190000,322190000.0,0.27,1160000000,5800000000,False,-0.8,4033486,750810000,75831810000.0,406000000,0.42,0.27,RETAIL_DOMINANT,1160000000,reported,5800000000,585800024064,0.0,NEUTRAL,0,41.29999923706055,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,55.86,0.09
VKTR,Teknologi & Telco,895,4.8,PANTAU,D,MACD+OBV** | RSI49* | OBV+Trend | W+M** | Entry* | KC-LO,42,49.0,21.5,37.1,UP,100,17.6,BELOW,CONTINUATION,BEARISH_DIV,BEARISH,49.6,695,1045,805,1046,1158,1271,10.1,16.9,1.67,11111,9944345,1000000,RANGING,Bull,Bull,NEUTRAL,50,AD_FALLING,70554739.87199153,-0.07291110835610583,-157511047.95994842,NO,115790937,103632888615.0,0.5,23158187500,43750000000,False,0.0,93217993,14937030939,13368642690405.0,8105365624,0.78,0.5,RETAIL_DOMINANT,23158187500,reported,43750000000,39156247953408,0.0,NEUTRAL,0,9.899999618530273,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,59.29,46.331
EXCL,Teknologi & Telco,3070,5.3,PANTAU,D,MACD+OBV** | RSI50* | BB+Sup* | OBV+Trend | Entry* | Ichimoku*,40,49.6,12.7,52.2,UP,100,1.5,BELOW,CONTINUATION,NONE,BULLISH,18.1,2830,3280,2898,3356,3571,3785,5.6,9.3,1.66,5813,17845910,1000000,RANGING,Bear,Bull,NEUTRAL,50,AD_FALLING,4345788.828370612,-0.02446742818676781,-3969463.813767791,NO,30150802,92562962140.0,0.5,6030160426,18199862451,False,0.0,19351780,3889453475,11940622168250.0,2110556149,0.78,0.5,RETAIL_DOMINANT,6030160426,reported,18199862451,55873581875200,0.0,NEUTRAL,0,19.899999618530273,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,53.05,57.567
BBNI,Perbankan,3770,5.5,PANTAU,D,MACD+OBV** | RSI48* | BB+Sup* | VWAP Trend | MACD+Momentum | OBV+Trend,38,48.1,22.7,68.4,UP,72,47.4,ABOVE,CONTINUATION,NONE,BEARISH,9.2,3510,3900,3649,3971,4122,4273,3.2,5.3,1.66,8264,31155280,1000000,RANGING,Bear,Bear,DISTRIBUTION,60,"VWAP_ABOVE_DELTA_POS, VPT_FALLING, CMF_NEGATIVE",-28946.86139898654,-0.2518719814828006,-215291254.872154,NO,33839604,127575307080.0,0.22,15039824344,578683733,False,-1.8,77367033,9742046220,36727514249400.0,5263938520,0.35,0.22,RETAIL_DOMINANT,15039824344,reported,578683733,140458130931712,0.0,NEUTRAL,0,47.900001525878906,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,54.36,-41.905
EMTK,Teknologi & Telco,850,4.5,PANTAU,D,MACD+OBV** | RSI48* | BB+Sup* | OBV+Trend | Entry*,30,48.4,21.0,51.9,UP,64,7.5,BELOW,CONTINUATION,NONE,BEARISH,35.7,720,955,797,938,1005,1071,6.2,10.4,1.68,18867,16036950,1000000,RANGING,Bear,Bear,NEUTRAL,50,AD_RISING,13862032.490407791,-0.05421773416080161,16974315.02164507,NO,87062704,74003298400.0,0.5,17412540904,61182504933,False,0.0,41840450,11231088884,9546425551400.0,6094389316,0.78,0.5,RETAIL_DOMINANT,17412540904,reported,61182504933,52005129158656,0.0,NEUTRAL,0,21.0,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,51.41,23.217
INTP,Pantauan,5300,4.6,PANTAU,D,MACD+OBV** | RSI43* | BB+Sup* | OBV+Trend | Entry* | MM_DIST*,30,43.2,19.1,48.0,UP,87,7.9,BELOW,CONTINUATION,NONE,BEARISH,10.9,5025,5575,5067,5689,5981,6272,4.4,7.3,1.66,4291,22742300,1000000,TRENDING,Bear,Bear,DISTRIBUTION,40,"CMF_NEGATIVE, AD_FALLING",35172.80277649456,-0.1952896771471777,-5040417.575757576,NO,2540390,13464067000.0,0.27,923778357,3305110399,False,-0.8,1173773,597915543,3168952377900.0,323322424,0.42,0.27,RETAIL_DOMINANT,923778357,reported,3305110399,17517084934144,0.0,NEUTRAL,0,3.0,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,45.71,-78.7
AREA,Pantauan,316,4.5,PANTAU,D,ADX33X | MACD+OBV** | RSI39 | OBV+Trend | KC-LO,30,39.0,32.9,35.0,UP,100,-10.4,BELOW,CONTINUATION,NONE,BEARISH,21.4,296,346,289,361,395,429,8.5,14.2,1.67,37037,11703692,1000000,TRENDING,Bear,Bear,NEUTRAL,50,"VPT_RISING, AD_FALLING",252999.73845121881,-0.0632793806330046,-671053.6875736872,NO,2550013,805804108.0,0.5,510002673,2539601000,False,0.0,415833,328951725,103948745100.0,178500935,0.78,0.5,RETAIL_DOMINANT,510002673,reported,2539601000,802513879040,0.0,NEUTRAL,0,9.0,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,47.58,-3.364
BRPT,Energi & Tambang,2020,6.1,BUY,C,Price>EMA21 | ADX32X | MACD+OBV** | RSI53* | BB+Sup* | OBV+Trend,30,52.6,31.6,56.9,UP,100,37.4,BELOW,CONTINUATION,NONE,BEARISH,86.9,1280,2440,1795,2395,2676,2957,11.1,18.6,1.68,4444,8976880,1000000,RANGING,Bear,Bear,ACCUMULATION,40,"VPT_RISING, AD_RISING",211348311.46241114,0.13379389883098788,634469141.804141,NO,185295288,374296481760.0,0.7,26470755460,93711740929,False,0.8,186424753,17020695761,34381805437220.0,9264764411,1.09,0.7,RETAIL_DOMINANT,26470755460,reported,93711740929,189297730781184,0.0,NEUTRAL,0,12.0,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,59.37,155.57
MPPA,Consumer & Retail,51,4.1,TUNGGU,E,MACD+OBV** | RSI50* | BB+Sup* | OBV+Trend | Entry* | MM_DIST*,27,49.6,14.6,36.4,UP,100,11.0,BELOW,CONTINUATION,NONE,BEARISH,26.9,46,57,48,56,59,63,5.9,9.8,1.66,333333,16999983,1000000,RANGING,Bear,Bear,DISTRIBUTION,40,"CMF_NEGATIVE, AD_FALLING",17633907.9419294,-0.13499359810314782,-105670566.66666651,NO,14621669,745705119.0,0.27,5316970766,12966640084,False,-0.8,29080220,3441409329,175511875779.0,1860939768,0.42,0.27,RETAIL_DOMINANT,5316970766,reported,12966640084,661298610176,0.0,NEUTRAL,0,2.5999999046325684,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,54.22,1.229
