Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d
RMKE,Energi & Tambang,3220,5.5,PANTAU,D,Macro_Defensive- | PBV_Mahal- | News_BULLISH*** | MACD+OBV** | RSI48* | BB+Sup*,54,47.5,18.4,41.3,UP,100,21.6,BELOW,CONTINUATION,NONE,BULLISH,27.4,2680,3560,2980,3619,3919,4218,7.5,12.4,1.65,4166,13414520,1000000,TRENDING,Bear,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",2997561.8253401387,0.12223394055534526,37635272.09481622,NO,14336000,46161920000.0,0.8,1792000000,4375000000,False,1.8,12693226,1150464000,3704494080000.0,627200000,1.25,0.8,RETAIL_DOMINANT,1792000000,reported,4375000000,14087500070912,0.26,POSITIVE,2,8.2,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,48.64,-56.7
ACST,Infrastruktur & Konstruksi,99,6.6,HINDARI,LOW_LIQ,Macro_Defensive- | News_BULLISH*** | ADX27 | MACD+OBV** | RSI46* | BB+Sup*,54,46.0,27.4,81.8,UP,100,60.3,ABOVE,CONTINUATION,NONE,BULLISH,18.7,85,101,95,105,109,114,4.0,6.1,1.52,250000,24750000,1000000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VWAP_ABOVE_DELTA_POS, VPT_FALLING, AD_FALLING",-109087.15446905792,-0.11214306087118024,-1042300.0,NO,4290512,424760688.0,0.27,1560186373,17675160000,False,-0.8,1267176,1009830631,99973232469.0,546065230,0.42,0.27,RETAIL_DOMINANT,1560186373,reported,17675160000,1749840822272,0.36,POSITIVE,5,0.0,TIDAK DIUJI,-2.03,0.59,46.0,-3.063
DMMX,Teknologi & Telco,220,5.4,HINDARI,LOW_LIQ,Macro_Defensive- | MACD+OBV** | RSI46* | BB+Sup* | VWAP Trend | OBV+Trend,53,46.2,14.2,35.3,UP,100,-4.2,ABOVE,CONTINUATION,NONE,BULLISH,15.5,204,232,207,242,259,276,5.9,10.0,1.69,76923,16923060,1000000,TRENDING,Bear,Bear,ACCUMULATION,60,"CMF_POSITIVE, AD_RISING",345280.580258462,0.3041656681692037,4676345.497835502,NO,20815994,4579518680.0,0.8,2601999359,7259435200,False,1.8,581290,1670483590,367506389800.0,910699775,1.25,0.8,RETAIL_DOMINANT,2601999359,reported,7259435200,1597075750912,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-2.03,0.59,44.22,-2.544
INDY,Energi & Tambang,3650,5.7,PANTAU,D,Macro_Defensive- | PBV_Mahal- | Pullback_EMA21** | EMA* | MACD+OBV** | RSI51*,52,50.8,14.1,37.5,UP,87,-14.1,BELOW,CONTINUATION,NONE,BULLISH,13.8,3410,3880,3384,4093,4426,4758,7.3,12.1,1.66,3759,13720350,1000000,RANGING,Bull,Bull,DISTRIBUTION,40,"CMF_NEGATIVE, AD_FALLING",7345633.808936581,-0.15966184932768143,-85297918.65640241,NO,4091201,14932883650.0,0.27,1487709777,5202692000,False,-0.8,20630066,962920155,3514658565750.0,520698421,0.42,0.27,RETAIL_DOMINANT,1487709777,reported,5202692000,18989826703360,-0.03,NEUTRAL,2,12.3,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,53.63,59.346
AWAN,Pantauan Khusus (High Volatility),164,7.0,HINDARI,LOW_LIQ,Macro_Defensive- | PBV_Mahal- | Price>EMA21 | MACD+OBV** | RSI57* | Stoch60UP,51,57.4,15.4,60.0,UP,100,64.7,ABOVE,REVERSAL,NONE,BULLISH,18.5,141,165,154,181,194,207,6.1,10.4,1.7,100000,16400000,1000000,RANGING,Bear,Bear,ACCUMULATION,40,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",138121.06101011112,-0.09410163897131828,-1200300.688348014,NO,5620759,921804476.0,0.7,802965600,3435000000,False,0.8,581013,516306881,84674328484.0,281037960,1.09,0.7,RETAIL_DOMINANT,802965600,reported,3435000000,563339984896,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-2.03,0.59,47.01,0.103
PGAS,Energi & Tambang,1940,8.1,PANTAU,D,Macro_Defensive- | PER_Murah* | PBV_Mahal- | News_BEARISH--- | Pullback_EMA21** | Price>EMA21,50,51.8,15.6,79.3,UP,77,51.7,ABOVE,CONTINUATION,NONE,BULLISH,12.3,1755,1945,1864,2067,2163,2258,3.9,6.5,1.67,13157,25524580,1000000,TRENDING,Bear,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",4348659.341529343,-0.006876995845351105,62393278.33386943,NO,72999180,141618409200.0,0.7,10428454411,24241508195,False,0.8,43407466,6705496188,13008662604720.0,3649959043,1.09,0.7,RETAIL_DOMINANT,10428454411,reported,24241508195,47028524548096,-0.36,NEGATIVE,1,10.9,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,49.31,-18.907
PMUI,Pantauan Khusus (High Volatility),104,6.3,HINDARI,LOW_LIQ,Macro_Defensive- | PBV_Murah | Pullback_EMA21** | Price>EMA21 | ADX37X | MACD+OBV**,47,49.6,37.4,20.8,UP,100,1.4,BELOW,CONTINUATION,NONE,BEARISH,23.7,90,109,94,121,133,145,9.6,16.3,1.7,100000,10400000,1000000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_RISING, CMF_NEGATIVE, AD_FALLING",6435084.426313345,-0.35089374300774046,-19785315.704665713,NO,3190000,331760000.0,0.27,1160000000,5800000000,False,-0.8,4489060,750810000,78084240000.0,406000000,0.42,0.27,RETAIL_DOMINANT,1160000000,reported,5800000000,603200028672,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-2.03,0.59,49.62,-0.503
INTP,Industri Dasar & Logam,5200,6.3,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | Wyckoff_Absorb*** | MACD+OBV**,47,40.9,18.5,22.7,UP,83,-59.2,BELOW,CONTINUATION,NONE,BEARISH,10.4,5025,5575,4985,5558,5826,6094,4.1,6.9,1.68,4651,24185200,1000000,TRENDING,Bear,Bear,NEUTRAL,50,"VPT_RISING, AD_FALLING",33367.261018019984,-0.11614526726012353,-2296958.528138526,NO,4618891,24018233200.0,0.5,923778357,3305110399,False,0.0,1274083,595837042,3098352618400.0,323322424,0.78,0.5,RETAIL_DOMINANT,923778357,reported,3305110399,17186573778944,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,-2.03,0.59,40.9,-99.27
GOTO,Teknologi & Telco,54,6.7,PANTAU,D,Macro_Defensive- | News_BULLISH*** | Pullback_EMA21** | Price>EMA21 | MACD+OBV** | RSI51*,47,50.8,21.5,42.9,UP,73,92.1,ABOVE,CONTINUATION,NONE,BEARISH,10.4,51,56,51,59,62,66,5.6,9.3,1.66,333333,17999982,1000000,RANGING,Bear,Bear,NEUTRAL,50,"VPT_RISING, VWAP_ABOVE_DELTA_POS, CMF_NEGATIVE, AD_FALLING",486421771.23230076,-0.14267807635143134,-14829781854.0,NO,4098459900,221316834600.0,0.5,819691980180,1062010200395,False,0.0,3527699446,528701327217,28549871669718.0,286892193063,0.78,0.5,RETAIL_DOMINANT,819691980180,reported,1062010200395,57348550819840,0.22,POSITIVE,3,5.1,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,54.87,-0.269
NIKL,Industri Dasar & Logam,298,5.5,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PBV_Mahal- | Pullback_EMA21** | Price>EMA21 | MACD+OBV**,44,50.2,17.6,32.4,UP,100,83.4,BELOW,REVERSAL,NONE,BEARISH,16.6,276,314,272,341,373,406,8.7,14.4,1.66,38461,11461378,1000000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_RISING, CMF_NEGATIVE, AD_FALLING",1911704.1125110164,-0.32820362153172433,-23914920.176198065,YES,1728141,514986018.0,0.27,628415084,2523350000,False,-0.8,2907290,406741664,121209015872.0,219945279,0.42,0.27,RETAIL_DOMINANT,628415084,reported,2523350000,751958294528,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,-2.03,0.59,41.31,-6.031
