Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d
LSIP,Agrikultur,1735,10.5,BUY,C+,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | EMA* | ADX54XX,85,65.9,53.7,80.5,UP,100,78.6,ABOVE,REVERSAL,BEARISH_DIV,BULLISH,29.8,1440,1785,1643,1888,2002,2116,5.3,8.8,1.66,10869,18857715,1000000,TRENDING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",7128444.827433827,0.13224898215432274,57770508.02304781,NO,19276355,33444475925.0,0.7,2753765050,6819963965,False,0.8,18009923,1770670928,3072114060080.0,963817767,1.09,0.7,RETAIL_DOMINANT,2753765050,reported,6819963965,11832636997632,0.0,NEUTRAL,2,28.9,🔴 JEBAKAN / FALSE BREAKOUT,0.41,0.4,63.1,103.685
TSPC,Kesehatan,2500,10.5,HINDARI,LOW_LIQ,Macro_Defensive- | Overbought- | PER_Murah* | PBV_Murah | Pullback_EMA21** | Price>EMA21,85,53.1,33.9,78.6,UP,100,193.1,ABOVE,BREAKOUT,NONE,BULLISH,5.0,2380,2500,2433,2612,2697,2781,2.7,4.5,1.67,14925,37312500,1000000,TRENDING,Bear,Bear,NEUTRAL,50,"VPT_RISING, AD_FALLING",50838.85284668644,-0.19127124347972402,-3864534.761904761,YES,2130234,5325585000.0,0.5,426046880,4509864300,False,0.0,1414920,274800238,687000595000.0,149116408,0.78,0.5,RETAIL_DOMINANT,426046880,reported,4509864300,11274661396480,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.41,0.4,47.11,-30.79
ADES,Consumer & Retail,20375,7.1,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | Overbought- | RS_Strong* | EMA+HMA** | ADX50XX,84,83.9,49.9,86.7,UP,100,328.6,ABOVE,CONTINUATION,NONE,BULLISH,22.1,16200,20375,19329,21769,22815,23861,5.1,6.8,1.33,956,19478500,1000000,HIGH_VOLATILITY,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",48471.26803167499,0.06892947469571353,86565.50168802697,YES,407925,8311471875.0,0.8,50990679,589896800,False,1.8,59620,32736017,666996346375.0,17846737,1.25,0.8,RETAIL_DOMINANT,50990679,reported,589896800,12019148259328,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.41,0.4,71.81,481.14
JKON,Infrastruktur & Konstruksi,77,10.5,HINDARI,LOW_LIQ,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | News_BULLISH*** | Pullback_EMA21**,81,55.7,30.1,50.0,UP,100,62.4,BELOW,REVERSAL,NONE,BULLISH,10.6,71,78,72,85,90,96,6.5,10.4,1.6,200000,15400000,1000000,RANGING,Bear,Bear,DISTRIBUTION,40,"VPT_RISING, CMF_NEGATIVE, AD_FALLING",3899474.3268902227,-0.23396258034170514,-64637918.09523815,YES,17400742,1339857134.0,0.27,6327542620,16308519860,False,-0.8,17371740,4095501961,315353650997.0,2214639917,0.42,0.27,RETAIL_DOMINANT,6327542620,reported,16308519860,1255756005376,0.29,POSITIVE,3,0.0,TIDAK DIUJI,0.41,0.4,49.98,0.419
MAPI,Consumer & Retail,1290,8.4,PANTAU,D,Macro_Defensive- | Sector_COLD- | PER_Murah* | Pullback_EMA21** | EMA* | MACD+OBV**,81,53.4,19.5,50.0,UP,84,15.4,ABOVE,CONTINUATION,NONE,BULLISH,7.8,1240,1330,1228,1393,1471,1548,4.8,8.0,1.67,16129,20806410,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",3881928.12043312,0.09836432871557545,65553193.54534355,NO,65072000,83942880000.0,0.8,8134000000,16600000000,False,1.8,23516080,5222028000,6736416120000.0,2846900000,1.25,0.8,RETAIL_DOMINANT,8134000000,reported,16600000000,21414000197632,0.0,NEUTRAL,0,13.4,🔴 JEBAKAN / FALSE BREAKOUT,0.41,0.4,53.4,24.578
MIDI,Consumer & Retail,344,8.3,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | Overbought- | PER_Murah* | RS_Strong* | EMA+HMA**,80,65.0,28.3,88.9,UP,100,177.7,ABOVE,BREAKOUT,NONE,BULLISH,12.4,304,344,330,368,386,404,4.1,7.0,1.71,71428,24571232,1000000,RANGING,Bull,Bear,ACCUMULATION,60,"VPT_RISING, AD_RISING",5979360.813769493,0.09628503998667678,60350323.015872985,YES,59482726,20462057744.0,0.8,7435340858,33435294800,False,1.8,17221273,4773488832,1642080158208.0,2602369300,1.25,0.8,RETAIL_DOMINANT,7435340858,reported,33435294800,11501742063616,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.41,0.4,56.12,7.983
KREN,Teknologi & Telco,19,7.1,HINDARI,LOW_LIQ,Macro_Defensive- | Overbought- | PBV_Mahal- | RS_Strong* | Price>EMA21 | ADX34X,79,65.6,34.4,80.0,UP,100,269.5,ABOVE,CONTINUATION,NONE,BULLISH,27.0,15,19,18,21,22,24,5.3,10.5,1.98,1000000,19000000,1000000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",5519668.905228758,0.27183711631390484,196529500.0,YES,104362768,1982892592.0,0.8,13045346016,18204247800,False,1.8,26925036,8375112143,159127130717.0,4565871105,1.25,0.8,RETAIL_DOMINANT,13045346016,reported,18204247800,345880723456,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.41,0.4,65.59,-0.011
DMAS,Properti & Real Estate,137,10.7,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | News_BULLISH*** | Pullback_EMA21**,77,56.5,25.0,45.5,UP,100,63.7,BELOW,CONTINUATION,BEARISH_DIV,BEARISH,6.6,132,139,134,142,146,150,2.2,3.6,1.64,333333,45666621,1000000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",2575860.7662866004,0.04015944008654958,24419402.38095236,NO,59471167,8147549879.0,0.7,8495881044,48198111100,False,0.8,30278743,5462851512,748410657144.0,2973558365,1.09,0.7,RETAIL_DOMINANT,8495881044,reported,48198111100,6603141021696,0.15,POSITIVE,5,0.0,TIDAK DIUJI,0.41,0.4,49.62,0.932
PRDA,Kesehatan,2540,9.7,HINDARI,LOW_LIQ,Macro_Defensive- | PER_Murah* | PBV_Murah | Pullback_EMA21** | EMA+HMA** | ADX36X,76,53.8,35.7,64.3,UP,100,97.8,ABOVE,CONTINUATION,NONE,BEARISH,5.0,2470,2580,2463,2669,2766,2862,3.0,5.1,1.7,12987,32986980,1000000,RANGING,Bull,Bear,DISTRIBUTION,40,"VWAP_ABOVE_DELTA_POS, VPT_FALLING, AD_FALLING",-117.67536024510628,0.4119014351594751,-57953.57142857136,NO,667974,1696653960.0,0.27,242899814,889775500,False,-0.8,510380,157216906,399330941240.0,85014934,0.42,0.27,RETAIL_DOMINANT,242899814,reported,889775500,2260029669376,0.0,NEUTRAL,2,0.0,TIDAK DIUJI,0.41,0.4,57.42,16.909
ERAA,Consumer & Retail,416,7.9,PANTAU,D,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | EMA*,74,66.5,17.3,95.0,UP,80,78.7,ABOVE,CONTINUATION,NONE,BULLISH,18.6,360,416,401,441,460,479,3.6,6.0,1.67,66666,27733056,1000000,RANGING,Bull,Bear,ACCUMULATION,60,"VPT_RISING, AD_RISING",4076783.882425259,0.036060580308125895,77697022.61904788,NO,55388667,23041685472.0,0.8,6923583486,15783484900,False,1.8,44703096,4444940599,1849095289184.0,2423254220,1.25,0.8,RETAIL_DOMINANT,6923583486,reported,15783484900,6565929680896,0.0,NEUTRAL,0,5.8,🔴 JEBAKAN / FALSE BREAKOUT,0.41,0.4,66.46,5.649
