Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,Saran_Lot,Broksum_Status,Broksum_Net_Vol
ANJT,Agrikultur,1815,8.7,HINDARI,LOW_LIQ,PER_Murah* | PBV_Mahal- | VCP_Setup** | EMA* | Broksum_ACCUM***,11,20,5,0,15,69.9,36.2,96.6,UP,100,75.5,ABOVE,CONTINUATION,NONE,BULLISH,30.8,1490,1815,1747,1928,2012,2097,3.7,6.2,1.68,1470,2668050,100000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",120371.51985346974,0.16971284822424457,971812.6877828045,NO,98746,179223990.0,0.8,12343364,3354175000,False,1.8,207733,7924441,14382860415.0,4320177,1.25,0.8,RETAIL_DOMINANT,12343364,reported,3354175000,6071056859136,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,69.92,57.025,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
LPCK,Properti & Real Estate,635,5.0,HINDARI,LOW_LIQ,PBV_Murah | Broksum_ACCUM***,11,15,25,0,0,43.7,19.2,23.8,DN,100,-44.1,BELOW,CONTINUATION,NONE,BEARISH,18.8,595,705,585,719,782,844,7.9,13.2,1.67,2000,1270000,100000,TRENDING,Bear,Bear,NEUTRAL,50,AD_FALLING,113590.3519857619,-0.03337021151325661,-202745.1948051937,NO,2824077,1793288895.0,0.5,564815426,5134685692,False,0.0,688603,364305950,231334278250.0,197685399,0.78,0.5,RETAIL_DOMINANT,564815426,reported,5134685692,3209178644480,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,42.44,-11.811,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
SMGR,Industri Dasar & Logam,2000,2.0,HINDARI,F,Sector_COLD- | PBV_Murah | Broksum_ACCUM***,11,15,25,0,0,27.9,26.3,0.0,DN,100,-155.3,BELOW,NONE,NONE,BEARISH,26.6,2000,2490,1883,2196,2343,2490,5.9,9.8,1.66,854,1708000,100000,TRENDING,Bear,Bear,DISTRIBUTION,60,"VOL_SPIKE_DOWN, VPT_FALLING",-2385792.56818169,-0.33544045200369377,-75477616.98412699,YES,7374713,14749426000.0,0.22,3277650465,6735544089,False,-1.8,9609740,2123098090,4246196180000.0,1147177662,0.35,0.22,RETAIL_DOMINANT,3277650465,reported,6735544089,13605799985152,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,31.31,-120.247,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
DILD,Properti & Real Estate,130,7.5,HINDARI,LOW_LIQ,PBV_Murah | Pullback_EMA21** | Broksum_ACCUM***,11,15,25,0,0,50.0,18.5,41.2,UP,100,42.0,BELOW,CONTINUATION,NONE,BEARISH,11.9,122,137,124,140,147,154,4.6,7.7,1.67,16666,2166580,100000,RANGING,Bear,Bear,NEUTRAL,50,"VPT_RISING, AD_FALLING",3287693.524417475,-0.12450347995162116,-50714933.33333334,NO,28395184,3691373920.0,0.5,5679036874,10365854185,False,0.0,21690143,3662978785,476187242050.0,1987662905,0.78,0.5,RETAIL_DOMINANT,5679036874,reported,10365854185,1337195102208,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,55.15,0.512,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
ABMM,Konglomerat & Investasi,2950,3.5,HINDARI,LOW_LIQ,Sector_COLD- | PER_Murah* | PBV_Mahal- | Broksum_ACCUM***,11,30,5,0,0,41.3,18.7,23.1,DN,95,-183.0,BELOW,CONTINUATION,NONE,BEARISH,5.8,2950,3110,2853,3112,3234,3355,3.3,5.5,1.67,1030,3038500,100000,RANGING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, CMF_NEGATIVE",-40398.21743036626,-0.20218646093257092,-4120118.192004079,NO,587250,1732387500.0,0.22,261000042,2753165000,False,-1.8,1552143,169062778,498735195100.0,91350014,0.35,0.22,RETAIL_DOMINANT,261000042,reported,2753165000,8039241875456,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,47.5,6.003,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
BBRI,Perbankan,2990,5.0,HINDARI,F,PER_Murah* | PBV_Murah | Broksum_ACCUM***,11,15,25,0,0,32.9,28.8,3.1,DN,74,-143.0,BELOW,NONE,NONE,BEARISH,10.1,2990,3270,2900,3141,3254,3367,3.0,5.1,1.7,1111,3321890,100000,TRENDING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-11267911.785601232,-0.38789514190667396,-1932068950.7575788,NO,157312026,470362957740.0,0.22,69916456181,151559001603,False,-1.8,269828843,45288384492,135412269631080.0,24470759663,0.35,0.22,RETAIL_DOMINANT,69916456181,reported,151559001603,460739361898496,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,37.8,-59.109,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
BRIS,Perbankan,1775,4.5,HINDARI,F,PER_Murah* | Broksum_ACCUM***,11,15,25,0,0,17.7,28.8,9.6,DN,100,-163.3,BELOW,NONE,NONE,BEARISH,23.9,1775,2130,1704,1894,1983,2072,4.0,6.7,1.68,1408,2499200,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-3339536.562147136,-0.43736479901734615,-132963757.7705628,NO,12553616,22282668400.0,0.27,4564951583,46129260138,False,-0.8,13217016,2954664913,5244530220575.0,1597733054,0.42,0.27,RETAIL_DOMINANT,4564951583,reported,46129260138,82571375411200,0.04,NEUTRAL,3,0.0,TIDAK DIUJI,0.0,0.0,18.34,-89.962,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
MLPL,Konglomerat & Investasi,98,4.5,HINDARI,LOW_LIQ,Sector_COLD- | PBV_Murah | News_BULLISH*** | Broksum_ACCUM***,11,15,25,0,0,44.0,17.3,8.3,DN,100,-43.4,BELOW,CONTINUATION,NONE,BEARISH,23.7,91,113,91,110,118,127,7.1,12.2,1.72,14285,1399930,100000,RANGING,Bear,Bear,NEUTRAL,50,AD_FALLING,10491199.243799567,-0.16470846874599554,-131514848.57142854,NO,5767575,565222350.0,0.5,1153515132,467942000,False,0.0,40846276,744017261,72913691578.0,403730296,0.78,0.5,RETAIL_DOMINANT,1153515132,reported,467942000,1561336086528,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,46.59,-0.051,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
EMTK,Teknologi & Telco,825,6.0,HINDARI,F,PER_Murah* | PBV_Murah | Broksum_ACCUM***,11,15,25,0,0,45.3,19.0,16.7,DN,63,-42.7,BELOW,CONTINUATION,NONE,BEARISH,32.8,720,955,774,909,973,1036,6.2,10.2,1.65,1960,1617000,100000,RANGING,Bear,Bear,NEUTRAL,50,AD_RISING,17096606.474619642,0.06980342729486622,127449571.08225107,NO,87062704,71826730800.0,0.5,17412540904,61182504933,False,0.0,41328926,11231088884,9265648329300.0,6094389316,0.78,0.5,RETAIL_DOMINANT,17412540904,reported,61182504933,49863739834368,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,43.41,4.169,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
ACST,Infrastruktur & Konstruksi,99,6.5,HINDARI,LOW_LIQ,News_BULLISH*** | Broksum_ACCUM***,11,15,0,0,30,46.0,27.4,81.8,UP,100,60.3,ABOVE,CONTINUATION,NONE,BULLISH,18.7,85,101,95,105,109,114,4.0,6.1,1.52,25000,2475000,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VWAP_ABOVE_DELTA_POS, VPT_FALLING, AD_FALLING",-109087.15446905792,-0.11214306087118024,-1042300.0,NO,4290512,424760688.0,0.27,1560186373,17675160000,False,-0.8,1267176,1009830631,99973232469.0,546065230,0.42,0.27,RETAIL_DOMINANT,1560186373,reported,17675160000,1767516012544,0.39,POSITIVE,4,0.0,TIDAK DIUJI,0.0,0.0,46.0,-3.063,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
